"PID-- Participant ID, 4 lines per participants","Condition-- 1= Unfamiliar country eats familiar food, 2= unfamiliar country eats unfamiliar food, ","Time-- 0= pre-test, 1= post-test",GroupCountryFam,Rating-- 1(Really don't like) to 4(Really like),"FoodFam-- Which type of food children saw them with, 0= unfamiliar, 1= familiar"
75,2,0,1,4,1
75,2,0,0,3,0
76,1,0,1,2,1
76,1,1,0,1,1
76,1,1,1,3,1
76,1,0,0,1,1
77,2,1,1,4,1
77,2,0,1,2,1
77,2,0,0,3,0
77,2,1,0,4,0
78,1,1,1,2,1
78,1,1,0,2,1
78,1,0,1,3,1
78,1,0,0,2,1
79,2,0,0,3,0
79,2,1,0,3,0
79,2,0,1,4,1
79,2,1,1,4,1
80,1,1,1,4,1
80,1,0,1,4,1
80,1,1,0,3,1
80,1,0,0,3,1
81,2,0,0,3,0
81,2,0,1,4,1
81,2,1,1,4,1
81,2,1,0,4,0
82,1,1,1,4,1
82,1,0,0,3,1
82,1,1,0,3,1
82,1,0,1,4,1
83,2,0,1,4,1
83,2,0,0,2,0
83,2,1,0,3,0
83,2,1,1,4,1
84,1,0,0,2,1
84,1,1,1,4,1
84,1,0,1,4,1
84,1,1,0,4,1
85,2,1,1,3,1
85,2,0,0,3,0
85,2,0,1,4,1
85,2,1,0,2,0
86,1,1,0,4,1
86,1,1,1,4,1
86,1,0,1,4,1
86,1,0,0,4,1
87,2,1,1,4,1
87,2,0,0,3,0
87,2,0,1,4,1
87,2,1,0,3,0
88,1,1,1,3,1
88,1,1,0,3,1
88,1,0,0,3,1
88,1,0,1,3,1
89,2,0,0,1,0
89,2,0,1,4,1
89,2,1,1,4,1
89,2,1,0,1,0
90,1,0,0,3,1
90,1,0,1,3,1
90,1,1,1,3,1
90,1,1,0,3,1
91,2,0,1,4,1
91,2,0,0,4,0
91,2,1,1,4,1
91,2,1,0,4,0
92,1,0,0,4,1
92,1,0,1,4,1
92,1,1,1,4,1
92,1,1,0,4,1
93,2,1,1,4,1
93,2,0,1,4,1
93,2,1,0,3,0
93,2,0,0,2,0
94,1,1,0,4,1
94,1,0,0,4,1
94,1,1,1,4,1
94,1,0,1,4,1
95,2,0,1,4,1
95,2,1,1,3,1
95,2,1,0,4,0
95,2,0,0,2,0
96,1,0,0,3,1
96,1,0,1,4,1
96,1,1,0,3,1
96,1,1,1,4,1
97,2,0,1,4,1
97,2,0,0,2,0
97,2,1,0,1,0
97,2,1,1,2,1
98,1,1,1,4,1
98,1,0,0,3,1
98,1,0,1,3,1
98,1,1,0,4,1
99,2,0,1,2,1
99,2,1,0,1,0
99,2,0,0,1,0
99,2,1,1,1,1
100,1,1,1,4,1
100,1,0,0,3,1
100,1,0,1,4,1
100,1,1,0,3,1
101,2,0,1,3,1
101,2,0,0,3,0
101,2,1,0,4,0
101,2,1,1,4,1
102,1,0,0,4,1
102,1,1,0,4,1
102,1,0,1,3,1
102,1,1,1,3,1
103,2,1,1,4,1
103,2,0,1,4,1
103,2,0,0,4,0
103,2,1,0,4,0
104,1,1,0,4,1
104,1,0,1,4,1
104,1,0,0,4,1
104,1,1,1,4,1
105,2,1,1,4,1
105,2,0,1,4,1
105,2,1,0,4,0
105,2,0,0,3,0
106,1,0,1,3,1
106,1,0,0,4,1
106,1,1,1,4,1
106,1,1,0,3,1
107,2,0,0,2,0
107,2,0,1,4,1
108,1,1,0,4,1
108,1,1,1,4,1
108,1,0,1,4,1
108,1,0,0,3,1
109,2,0,1,3,1
109,2,0,0,2,0
109,2,1,1,4,1
109,2,1,0,2,0
110,1,1,0,4,1
110,1,0,0,4,1
110,1,1,1,4,1
110,1,0,1,4,1
111,2,1,1,4,1
111,2,0,0,3,0
111,2,0,1,4,1
111,2,1,0,3,0
112,1,1,0,2,1
112,1,0,0,2,1
112,1,0,1,4,1
112,1,1,1,4,1
113,2,1,1,4,1
113,2,0,0,3,0
113,2,0,1,4,1
113,2,1,0,3,0
114,1,0,1,4,1
114,1,1,1,4,1
114,1,1,0,2,1
114,1,0,0,3,1
115,2,0,0,3,0
115,2,1,0,3,0
115,2,1,1,4,1
115,2,0,1,4,1
116,1,1,0,1,1
116,1,0,1,4,1
116,1,0,0,1,1
116,1,1,1,4,1
117,2,1,0,3,0
117,2,1,0,3,0
